id,brthcan,prv,region,marstat
542,1,13,1,4
543,2,35,3,6
544,1,24,2,5
545,2,24,2,1
546,1,11,1,5
547,2,24,2,2
548,1,24,2,1
549,1,47,4,6
550,1,48,4,1
551,1,12,1,1
552,1,35,3,6
553,2,24,2,1
554,1,24,2,2
555,1,12,1,1
556,1,35,3,1
557,2,35,3,3
558,1,10,1,1
559,1,48,4,6
560,1,13,1,6
561,1,35,3,6
562,1,35,3,1
563,1,24,2,3
564,1,35,3,1
565,1,47,4,1
566,2,35,3,6
567,1,24,2,3
568,1,46,4,5
569,1,24,2,6
570,1,35,3,1
571,1,24,2,2
572,1,35,3,1
573,1,12,1,1
574,2,24,2,1
575,2,35,3,1
576,1,12,1,4
577,1,35,3,1
578,1,11,1,1
579,1,11,1,1
580,1,24,2,1
581,1,35,3,6
582,1,24,2,6
583,1,48,4,1
584,2,13,1,5
585,1,48,4,1
586,1,35,3,1
587,1,13,1,1
588,1,11,1,6
589,1,47,4,1
590,2,59,5,6
591,1,59,5,6
592,1,59,5,5
593,1,35,3,1
594,1,59,5,6
595,1,48,4,3
596,1,35,3,1
597,2,35,3,1
598,2,35,3,1
599,1,59,5,1
600,1,35,3,1
601,1,35,3,2
602,2,35,3,6
603,1,11,1,1
604,1,59,5,1
605,1,12,1,1
606,1,35,3,6
607,1,12,1,4
608,1,47,4,6
609,1,48,4,1
610,1,24,2,6
611,1,13,1,1
612,1,24,2,6
613,1,35,3,6
614,2,46,4,1
615,1,24,2,6
616,1,11,1,6
617,1,48,4,6
618,1,35,3,6
619,1,35,3,1
620,1,35,3,5
621,1,10,1,1
622,1,13,1,5
623,1,24,2,5
624,1,35,3,5
625,9,24,2,6
626,1,13,1,1
627,1,59,5,1
628,1,47,4,1
629,1,24,2,3
630,1,47,4,1
631,1,48,4,6
632,1,59,5,1
633,1,13,1,6
634,1,12,1,2
635,1,24,2,3
636,1,59,5,6
637,2,35,3,1
638,1,24,2,5
639,1,10,1,1
640,1,10,1,1
641,1,59,5,1
642,2,35,3,1
643,1,11,1,5
644,2,35,3,1
645,9,59,5,1
646,1,47,4,1
647,1,35,3,1
648,1,35,3,6
649,1,10,1,1
650,1,59,5,6
651,1,24,2,1
652,1,12,1,1
